"Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Promo rebates - ","Promo rebates - Shipping","Other - Shipping","Amazon fees - Refund Administration Fee","Amazon fees - FBA Order Handling Fee","Amazon fees - Shipping Chargeback","Amazon fees - FBA Amazon-Partnered Carrier Shipment Fee","Amazon fees - Subscription Fee","FBA Inventory Reimbursement - Damaged:Warehouse - ","Amazon fees - FBA transportation fee","FBA Inventory Reimbursement - Lost:Warehouse - ","Amazon fees - Shipping commission","Amazon fees - FBA Inventory Storage Fee"
-$4.09,-$3.62,-$3.00,14-Mar-16,002-8766534-3997053,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,$7.19,,,-$7.19,,,,,,,
-$4.09,-$3.62,-$1.50,14-Mar-16,111-1317777-7978621,22-Q94M-YDGP,"Order Payment","Product charges",,$19.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$10.00,,,,,,,,,,,,
-$4.09,-$3.62,-$1.50,14-Mar-16,104-4467860-2721064,22-Q94M-YDGP,"Order Payment","Product charges",,$19.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$10.00,,,,,,,,,,,,
-$4.09,-$3.62,-$1.50,14-Mar-16,110-8996263-7331447,22-Q94M-YDGP,"Order Payment","Product charges",,$19.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$10.00,,,,,,,,,,,,
,,$1.50,14-Mar-16,113-3519736-5964211,22-Q94M-YDGP,Refund,"Product charges",,-$19.99,1,"Hypoallergenic Infused Cool Gel Ventilated Core Memory Foam Standard 18.5""x11.5""x3.5""in Pillow",$10.00,,,-$0.30,,,,,,,,,
-$4.09,-$3.62,-$1.50,14-Mar-16,110-0358018-4429042,22-Q94M-YDGP,"Order Payment","Product charges",,$19.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$10.00,,,,,,,,,,,,
,,$21.60,14-Mar-16,116-6268848-5825052,4U-HVUX-7EQH,Refund,"Product charges",,-$144.00,18,"Ddi Cra-Z-Art Colored Pencils 12 Count (Pack Of 12)",,,,-$4.32,,,,,,,,,
-$4.09,-$3.62,-$3.00,14-Mar-16,106-1054303-4134664,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$4.09,-$3.62,-$3.00,14-Mar-16,115-1280176-9755438,22-Q94M-YDGP,"Order Payment","Product charges",,$19.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
-$4.09,-$3.62,-$3.00,14-Mar-16,111-8999169-9311440,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,$7.19,,,-$7.19,,,,,,,
