"Date","Order ID","SKU","Transaction type","Payment Type","Payment Detail","Amount",,"Quantity","Product Title"
"26-Mar-16","002-3389584-2510618","22-Q94M-YDGP","Order Payment","Amazon fees","Referral Fee on Item Price","($4.50)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"26-Mar-16","002-3389584-2510618","22-Q94M-YDGP","Order Payment","Product charges",,"$29.99 ",,"1","Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"26-Mar-16","104-6880137-7346645","3Y-2VGV-AZ21","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"26-Mar-16","104-6880137-7346645","3Y-2VGV-AZ21","Order Payment","Amazon fees","FBA Weight Handling Fee","($4.01)",,,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"26-Mar-16","104-6880137-7346645","3Y-2VGV-AZ21","Order Payment","Amazon fees","Referral Fee on Item Price","($2.25)",,,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"26-Mar-16","104-6880137-7346645","3Y-2VGV-AZ21","Order Payment","Product charges",,"$29.99 ",,"1","Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"26-Mar-16","104-6880137-7346645","3Y-2VGV-AZ21","Order Payment","Promo rebates",,"$0.00 ",,"1","Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"26-Mar-16","104-6880137-7346645","3Y-2VGV-AZ21","Order Payment","Promo rebates",,"($15.00)",,"1","Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"26-Mar-16","102-3217018-3160252","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"26-Mar-16","102-3217018-3160252","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"26-Mar-16","102-3217018-3160252","BQ-4FEP-C3OH","Order Payment","Amazon fees","Referral Fee on Item Price","($3.75)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
